Ativo 1;Ativo 2;Valor-p
ABEV3.SA;RADL3.SA;8.896572342484998e-18
ITSA4.SA;RADL3.SA;1.5197590485801073e-17
CRFB3.SA;ALSO3.SA;1.576059094990684e-17
RENT3.SA;ALSO3.SA;1.6249327434724592e-17
CMIG4.SA;RADL3.SA;2.0796604141011023e-17
CMIG4.SA;SBSP3.SA;4.39738921112979e-17
ITUB4.SA;RADL3.SA;4.506652777116723e-17
CPLE6.SA;RADL3.SA;4.8459365009844164e-17
BBAS3.SA;RADL3.SA;4.8735032425941004e-17
WEGE3.SA;TOTS3.SA;5.06491165376014e-17
BBDC4.SA;RADL3.SA;5.762874630005285e-17
ELET6.SA;RADL3.SA;5.832761569387787e-17
BBDC3.SA;RADL3.SA;6.182551120866266e-17
RENT3.SA;VBBR3.SA;7.208900002354227e-17
CSAN3.SA;BPAC11.SA;7.894268731762527e-17
SANB11.SA;RADL3.SA;1.0226595305394158e-16
EZTC3.SA;MRVE3.SA;1.359049626408227e-16
HYPE3.SA;RADL3.SA;1.718823093948949e-16
FLRY3.SA;ALSO3.SA;1.731082986722508e-16
FLRY3.SA;BPAC11.SA;1.853642370632835e-16
CIEL3.SA;RADL3.SA;1.9053076865973175e-16
TAEE11.SA;RADL3.SA;2.563304590875304e-16
WEGE3.SA;ALSO3.SA;3.2473525372488394e-16
IGTI11.SA;VBBR3.SA;3.7129725814374845e-16
ENEV3.SA;ALSO3.SA;3.9967747867686917e-16
PCAR3.SA;ALSO3.SA;4.18535927670563e-16
TIMS3.SA;RADL3.SA;4.258122320526214e-16
EQTL3.SA;RADL3.SA;4.829955206783149e-16
VIVT3.SA;RADL3.SA;6.116635097717099e-16
CPFE3.SA;RADL3.SA;7.365094582571672e-16
CSAN3.SA;ALSO3.SA;7.503493012775743e-16
BBDC3.SA;CMIG4.SA;8.001512787783928e-16
ASAI3.SA;BPAC11.SA;8.298809425725952e-16
WEGE3.SA;BPAC11.SA;1.0796954209549132e-15
BBSE3.SA;RADL3.SA;1.341631452607991e-15
ITUB4.SA;CPLE6.SA;1.4656225713949645e-15
SOMA3.SA;MRVE3.SA;1.4810748991243787e-15
BBAS3.SA;CPLE6.SA;1.8257567155912987e-15
BBAS3.SA;CMIG4.SA;2.0088919634008498e-15
EGIE3.SA;RADL3.SA;2.341158548042679e-15
SBSP3.SA;RADL3.SA;2.3850106309157685e-15
EMBR3.SA;SUZB3.SA;2.3941086354426393e-15
ALPA4.SA;MRVE3.SA;2.4099646121187524e-15
ITSA4.SA;CMIG4.SA;2.6995688055089534e-15
PETZ3.SA;MRVE3.SA;3.3054852270308676e-15
BRFS3.SA;MRFG3.SA;3.33840635337978e-15
WEGE3.SA;B3SA3.SA;3.5071105877285454e-15
USIM5.SA;VALE3.SA;4.023834952489831e-15
TAEE11.SA;CIEL3.SA;5.300251672679199e-15
FLRY3.SA;WEGE3.SA;8.46075808028908e-15
FLRY3.SA;B3SA3.SA;8.69355908005095e-15
ITSA4.SA;CIEL3.SA;9.555884161203952e-15
CRFB3.SA;WEGE3.SA;9.648503183308498e-15
BBDC3.SA;CIEL3.SA;1.1309588391005368e-14
MULT3.SA;WEGE3.SA;1.4786977361045582e-14
BBDC4.SA;CIEL3.SA;1.695218451657481e-14
BBSE3.SA;CIEL3.SA;1.90259313670997e-14
DXCO3.SA;WEGE3.SA;2.0173951179577063e-14
MULT3.SA;IGTI11.SA;2.154538510894746e-14
PETZ3.SA;CYRE3.SA;2.1722395701542396e-14
PETZ3.SA;EZTC3.SA;2.348430551593832e-14
ENEV3.SA;BPAC11.SA;2.4014018274788907e-14
BRFS3.SA;BEEF3.SA;3.6196573585813925e-14
VIVT3.SA;CIEL3.SA;3.6583686063569794e-14
RAIL3.SA;IGTI11.SA;4.220207755602093e-14
FLRY3.SA;IGTI11.SA;7.111565651228797e-14
TIMS3.SA;CIEL3.SA;8.870218986018645e-14
CRFB3.SA;IGTI11.SA;1.3765154501623235e-13
RAIZ4.SA;B3SA3.SA;2.979916821895854e-13
RDOR3.SA;B3SA3.SA;3.5948088195103396e-13
RAIL3.SA;ALSO3.SA;9.382069155850861e-13
ITSA4.SA;CPLE6.SA;6.981109623645375e-12
BBDC4.SA;CPLE6.SA;1.7941416788005563e-11
BBDC3.SA;CPLE6.SA;1.882739732078519e-11
VBBR3.SA;UGPA3.SA;4.586281893620741e-11
BRAP4.SA;GGBR4.SA;1.7429419637201132e-10
BRAP4.SA;GOAU4.SA;3.713905508711829e-10
CMIN3.SA;GGBR4.SA;9.164802802958807e-10
CMIN3.SA;GOAU4.SA;1.7713279122717152e-09
ALSO3.SA;B3SA3.SA;2.3738813343826523e-09
ENGI11.SA;RADL3.SA;3.082182374171073e-08
RAIL3.SA;RENT3.SA;1.0581554697145214e-07
TAEE11.SA;CMIG4.SA;2.2473454680676005e-07
TIMS3.SA;CMIG4.SA;1.0377266149096596e-06
RAIL3.SA;WEGE3.SA;1.206071730776821e-06
VIVT3.SA;CMIG4.SA;1.291168414399681e-06
GGBR4.SA;VALE3.SA;0.00016461451791685553
GOAU4.SA;VALE3.SA;0.0001648057032584503
