;0
BBSE3.SA/HYPE3.SA;4.6609140158526685e-12
CRFB3.SA/VBBR3.SA;4.566214160256488e-12
ALSO3.SA/UGPA3.SA;4.518793759317186e-12
VBBR3.SA/UGPA3.SA;4.193259888624068e-12
ALSO3.SA/B3SA3.SA;3.823837513988737e-12
CPLE6.SA/RADL3.SA;3.741695321635152e-12
PCAR3.SA/B3SA3.SA;3.4490054041935725e-12
CCRO3.SA/VBBR3.SA;3.350228081067108e-12
CRFB3.SA/B3SA3.SA;2.922629152579681e-12
BBAS3.SA/ITUB4.SA;2.6946231704294554e-12
BBSE3.SA/RADL3.SA;2.483294819777271e-12
PCAR3.SA/CCRO3.SA;2.469325308465664e-12
CSAN3.SA/WEGE3.SA;2.440747473922422e-12
BBDC3.SA/BBDC4.SA;2.32683902527675e-12
ITSA4.SA/EQTL3.SA;2.0984967236126195e-12
EGIE3.SA/ELET3.SA;1.9310195803479147e-12
HYPE3.SA/EGIE3.SA;1.79382420376073e-12
VIVT3.SA/HYPE3.SA;1.719074427079803e-12
ENEV3.SA/ALSO3.SA;1.5223216567536446e-12
TIMS3.SA/ELET6.SA;1.2600748352728508e-12
YDUQ3.SA/COGN3.SA;1.0659238249000058e-12
BBDC3.SA/EGIE3.SA;1.0352809104788308e-12
BBSE3.SA/SBSP3.SA;9.091479739181674e-13
BBAS3.SA/HYPE3.SA;9.076728084422836e-13
SMTO3.SA/BRKM5.SA;8.451333708379971e-13
CPFE3.SA/RADL3.SA;8.379213121967322e-13
CCRO3.SA/UGPA3.SA;7.966301229789252e-13
DXCO3.SA/VBBR3.SA;7.19325749139188e-13
DXCO3.SA/TOTS3.SA;6.787196672741747e-13
ENEV3.SA/B3SA3.SA;5.610256725331608e-13
CSAN3.SA/DXCO3.SA;5.358607437985774e-13
CCRO3.SA/ALSO3.SA;4.632226134788919e-13
BBDC4.SA/ELET6.SA;4.078961289826627e-13
TIMS3.SA/EQTL3.SA;3.6962330440294677e-13
SBSP3.SA/RADL3.SA;2.5881681238286436e-13
TIMS3.SA/CMIG4.SA;2.375354416200154e-13
SBSP3.SA/ABEV3.SA;2.284789111378638e-13
RRRP3.SA/PRIO3.SA;2.2781494572743366e-13
HYPE3.SA/ABEV3.SA;1.908068971920307e-13
BBSE3.SA/CPFE3.SA;1.604546302682447e-13
GOAU4.SA/VALE3.SA;1.411212862062819e-13
ITSA4.SA/VIVT3.SA;1.33869721948357e-13
VIVT3.SA/CPLE6.SA;1.270386383979763e-13
RENT3.SA/ALSO3.SA;1.2648348622808225e-13
WEGE3.SA/TOTS3.SA;1.2606408972271055e-13
LREN3.SA/CYRE3.SA;1.183371841273137e-13
PCAR3.SA/UGPA3.SA;1.1251509977622948e-13
JBSS3.SA/MRFG3.SA;1.1075892264976461e-13
BBSE3.SA/ABEV3.SA;1.060830771642228e-13
VIVT3.SA/BBDC4.SA;1.028419428610039e-13
VIVT3.SA/ABEV3.SA;9.949314728205719e-14
CIEL3.SA/EQTL3.SA;9.461125594989808e-14
BBDC3.SA/BBSE3.SA;9.460653289418419e-14
BBDC4.SA/SBSP3.SA;9.435858263360034e-14
