Ativo 1;Ativo 2;Valor-p
ARZZ3.SA;CSNA3.SA;0.0
ARZZ3.SA;SLCE3.SA;0.0
ARZZ3.SA;SUZB3.SA;0.0
ARZZ3.SA;TIMS3.SA;0.0
ARZZ3.SA;UGPA3.SA;0.0
ARZZ3.SA;USIM5.SA;0.0
ARZZ3.SA;VALE3.SA;0.0
ARZZ3.SA;WEGE3.SA;0.0
ARZZ3.SA;YDUQ3.SA;0.0
ASAI3.SA;B3SA3.SA;0.0
ASAI3.SA;BBSE3.SA;0.0
ASAI3.SA;BBDC3.SA;0.0
ASAI3.SA;BBDC4.SA;0.0
ASAI3.SA;BRAP4.SA;0.0
ASAI3.SA;BRFS3.SA;0.0
ASAI3.SA;CRFB3.SA;0.0
ASAI3.SA;CCRO3.SA;0.0
ASAI3.SA;COGN3.SA;0.0
ASAI3.SA;CMIN3.SA;0.0
ASAI3.SA;CVCB3.SA;0.0
ASAI3.SA;ELET6.SA;0.0
ASAI3.SA;EMBR3.SA;0.0
ASAI3.SA;ENEV3.SA;0.0
ASAI3.SA;EGIE3.SA;0.0
ASAI3.SA;EZTC3.SA;0.0
ASAI3.SA;GOLL4.SA;0.0
ASAI3.SA;IGTI11.SA;0.0
ASAI3.SA;IRBR3.SA;0.0
ASAI3.SA;ITSA4.SA;0.0
ASAI3.SA;ITUB4.SA;0.0
ASAI3.SA;JBSS3.SA;0.0
ASAI3.SA;LWSA3.SA;0.0
ASAI3.SA;LREN3.SA;0.0
ASAI3.SA;MGLU3.SA;0.0
ASAI3.SA;CASH3.SA;0.0
ASAI3.SA;MULT3.SA;0.0
ASAI3.SA;PETR3.SA;0.0
ASAI3.SA;PETR4.SA;0.0
ASAI3.SA;PRIO3.SA;0.0
ASAI3.SA;RAIZ4.SA;0.0
ASAI3.SA;RDOR3.SA;0.0
ASAI3.SA;SANB11.SA;0.0
ASAI3.SA;SMTO3.SA;0.0
ASAI3.SA;CSNA3.SA;0.0
ASAI3.SA;SLCE3.SA;0.0
ASAI3.SA;SUZB3.SA;0.0
ASAI3.SA;TIMS3.SA;0.0
ASAI3.SA;TOTS3.SA;0.0
ASAI3.SA;VALE3.SA;0.0
ASAI3.SA;VIIA3.SA;0.0
ASAI3.SA;VBBR3.SA;0.0
ASAI3.SA;YDUQ3.SA;0.0
AZUL4.SA;BBSE3.SA;0.0
AZUL4.SA;BBDC3.SA;0.0
AZUL4.SA;BBDC4.SA;0.0
AZUL4.SA;BRAP4.SA;0.0
AZUL4.SA;BBAS3.SA;0.0
AZUL4.SA;BRFS3.SA;0.0
AZUL4.SA;CRFB3.SA;0.0
AZUL4.SA;CCRO3.SA;0.0
AZUL4.SA;COGN3.SA;0.0
AZUL4.SA;CMIN3.SA;0.0
AZUL4.SA;CVCB3.SA;0.0
AZUL4.SA;ELET3.SA;0.0
AZUL4.SA;ELET6.SA;0.0
AZUL4.SA;EMBR3.SA;0.0
